trial,dis,ang
50.0,6.731445,44.99999
50.0,-0.446651,100.8409
50.0,-0.4412236,47.38864
50.0,-0.4166861,43.92402
50.0,-0.1588053,40.7207
49.0,7.984912,45.0
49.0,4.621322,61.89452
49.0,1.373751,88.99824
49.0,1.658987,65.80201
49.0,1.219582,79.14056
48.0,8.476177,44.99999
48.0,1.604114,113.0666
48.0,1.604114,62.595
48.0,1.604114,62.595
48.0,1.604114,62.595
47.0,7.068947,44.99999
47.0,0.9920609,139.0658
47.0,0.9920609,107.4503
47.0,0.9920609,107.4503
47.0,0.9920609,107.4503
46.0,7.912271,45.0
46.0,1.415094,135.496
46.0,0.9081367,87.21651
46.0,1.143163,79.91369
46.0,0.9656029,77.95013
45.0,8.434442,44.99999
45.0,4.451707,61.89451
45.0,1.207466,81.41247
45.0,1.207466,70.38663
45.0,1.207466,70.38663
44.0,5.971251,45.0
44.0,3.337077,61.89452
44.0,0.9763509,77.664
44.0,1.214585,60.35114
44.0,1.214585,61.11539
43.0,6.472754,44.99999
43.0,-0.5,127.6631
43.0,-0.5,76.87704
43.0,-0.5,76.87704
43.0,-0.5,76.87704
42.0,6.746501,44.99999
42.0,-0.5,95.59767
42.0,-0.2525801,38.50309
42.0,-0.2525801,39.54446
42.0,-0.2525801,39.54446
41.0,5.959275,45.0
41.0,2.433594,79.24862
41.0,0.848379,66.46355
41.0,0.848379,69.22472
41.0,0.848379,69.22472
40.0,6.446771,45.0
40.0,-0.5,123.7866
40.0,-0.5,73.05843
40.0,-0.5,73.05843
40.0,-0.5,73.05843
39.0,6.747953,44.99999
39.0,-0.5,114.6995
39.0,-0.5,64.11799
39.0,-0.5,64.11799
39.0,-0.5,64.11799
38.0,5.951886,44.99999
38.0,2.703826,79.24862
38.0,0.8719898,72.74438
38.0,0.8719898,75.43944
38.0,0.8719898,75.43944
37.0,6.425491,45.0
37.0,2.011109,79.24862
37.0,0.1263622,61.30072
37.0,0.1370468,63.4108
37.0,0.1345881,63.43531
36.0,6.716896,44.99999
36.0,2.345895,61.89451
36.0,0.1330626,59.79737
36.0,0.1330626,49.97744
36.0,0.1330626,49.97744
35.0,4.349088,45.0
35.0,-0.4704483,132.9876
35.0,-0.3422675,98.79301
