trial,dis,ang
50.0,6.731445,44.99999
50.0,-0.3991468,104.1557
50.0,-0.4100676,52.43066
50.0,-0.4001436,50.13683
50.0,-0.3836598,49.83556
49.0,7.984912,45.0
49.0,0.7905216,131.9018
49.0,0.9005288,75.66993
49.0,1.046731,70.92491
49.0,1.265243,65.43431
48.0,8.476177,44.99999
48.0,1.216219,116.7922
48.0,1.122541,70.96755
48.0,1.071262,72.32217
48.0,1.069204,71.26488
47.0,7.068947,44.99999
47.0,0.9156386,140.4834
47.0,0.8142788,107.5447
47.0,0.6608945,104.2837
47.0,0.7951276,102.5248
46.0,7.912271,45.0
46.0,0.5429978,145.8522
46.0,0.5447673,90.95068
46.0,0.6073149,86.53778
46.0,0.7157303,82.40953
45.0,8.434442,44.99999
45.0,0.6888375,148.6094
45.0,0.4129,95.16747
45.0,0.4024358,96.13566
44.0,5.971251,45.0
44.0,-0.5,152.013
43.0,6.472754,44.99999
43.0,-0.5,124.7038
42.0,6.746501,44.99999
42.0,-0.4377182,96.95683
41.0,5.959275,45.0
41.0,0.1012032,137.243
40.0,6.446771,45.0
40.0,-0.5,127.6972
40.0,-0.457817,75.53951
39.0,6.747953,44.99999
39.0,-0.5,119.1678
38.0,5.951886,44.99999
38.0,0.9807966,119.8501
38.0,0.5922899,83.61338
38.0,0.784127,80.25121
37.0,6.425491,45.0
37.0,3.41197,62.90545
37.0,0.1342579,73.35548
37.0,0.10669,74.27728
36.0,6.716896,44.99999
36.0,2.35755,62.90545
36.0,0.7224647,45.34605
36.0,0.2480981,50.8065
36.0,0.1051987,53.15196
35.0,4.349088,45.0
35.0,-0.4125228,130.2773
34.0,4.43277,44.99999
34.0,-0.2720345,92.14764
33.0,4.526461,44.99999
33.0,0.7754438,62.90545
33.0,0.1654335,35.15913
33.0,0.06836587,36.06018
33.0,0.0343889,36.31536
32.0,4.436254,45.0
32.0,3.39172,62.90545
32.0,1.125915,63.0774
32.0,0.9905436,65.47857
32.0,0.8674771,67.54311
31.0,4.460294,45.0
31.0,-0.5,110.6408
30.0,4.527493,44.99999
30.0,1.337742,62.90545
30.0,0.2820317,33.58662
30.0,0.1544133,40.32072
30.0,0.1174285,41.10366
29.0,4.545712,44.99999
29.0,0.4080662,119.8501
29.0,0.3383079,80.39117
29.0,0.2825914,81.49386
29.0,0.2377746,82.41122
28.0,4.519344,45.0
28.0,3.018432,62.90545
28.0,0.6796888,57.66061
28.0,0.5317689,61.99358
28.0,0.4347067,64.41653
27.0,4.51093,44.99999
27.0,1.896816,62.90545
27.0,0.4768848,42.08529
27.0,0.3685773,47.06121
27.0,0.2882106,47.90606
26.0,6.461044,44.99999
26.0,4.190564,63.79541
26.0,2.431406,71.61123
26.0,2.597605,60.92825
26.0,2.080297,80.43429
25.0,7.538796,44.99999
25.0,1.063632,116.4887
25.0,0.8054029,77.08498
25.0,0.6616882,82.77303
24.0,8.80969,45.00003
24.0,1.259941,117.9567
23.0,6.415659,45.0
23.0,4.403369,63.79541
23.0,2.325741,82.07054
23.0,2.459763,71.91502
22.0,6.961169,44.99999
22.0,3.705695,63.79541
22.0,1.419202,69.38375
21.0,8.84104,45.00003
21.0,1.267259,122.12
21.0,1.320993,74.24763
20.0,6.731753,45.0
20.0,4.848975,63.79541
20.0,2.412812,87.58345
19.0,6.709936,45.0
19.0,3.822275,63.79541
19.0,1.520174,71.14378
19.0,1.500882,66.2117
19.0,1.017442,78.67384
18.0,8.827682,45.00003
18.0,1.23704,150.4088
18.0,1.304759,92.33581
17.0,7.12184,44.99999
17.0,-0.5,157.1256
16.0,7.414182,44.99999
16.0,-0.1470835,118.8227
15.0,7.240713,45.0
15.0,0.2830789,93.33621
15.0,0.271109,48.94135
14.0,7.107893,45.0
14.0,-0.5,161.1797
13.0,7.389912,44.99999
13.0,-0.4405828,130.1395
12.0,7.264427,44.99999
12.0,-0.5,115.5463
11.0,7.097169,45.0
11.0,0.942716,133.1862
11.0,0.6434754,89.69323
11.0,0.507314,91.3409
11.0,0.4323667,92.936
10.0,7.367459,45.0
10.0,-0.3177295,158.3735
9.0,7.254023,44.99999
9.0,-0.04208198,143.9429
9.0,-0.03198749,93.16669
8.0,5.675292,44.99999
8.0,2.454927,63.79541
8.0,0.8891708,57.67095
8.0,0.4820022,64.88667
7.0,5.579974,44.99999
7.0,-0.4952674,105.9446
6.0,5.145774,45.0
6.0,-0.5,82.76028
5.0,5.707996,45.0
5.0,2.829703,62.90545
5.0,0.6223543,62.7814
5.0,0.4147607,69.52276
4.0,5.572756,44.99999
4.0,-0.5,112.266
4.0,-0.4887354,56.76433
3.0,5.160087,44.99999
3.0,0.9496689,62.90545
3.0,0.06639028,37.46479
3.0,0.01829743,37.94534
2.0,5.758192,45.0
2.0,3.175201,62.90545
2.0,0.6737074,69.02884
1.0,5.587968,45.0
1.0,-0.5,123.0656
